ZINC_ID	MWT	LogP	Desolv_apolar	Desolv_polar	HBD	HBA	tPSA	Charge	NRB	SMILES
ZINC00000017	281.337	1.33	3.07	-19.2	2	6	87	0	4	CCC[S@](=O)c1ccc2c(c1)[nH]/c(=N/C(=O)OC)/[nH]2
ZINC00000021	288.411	3.85	4.02	-40.52	1	3	30	1	6	CCC(=O)O[C@]1(CC[NH+](C[C@@H]1CC=C)C)c2ccccc2
ZINC00000022	218.276	3.21	0.47	-48.57	1	3	52	-1	5	C[C@@H](c1ccc(cc1)NCC(=C)C)C(=O)[O-]
ZINC00000025	251.353	3.60	2.4	-41.56	2	2	40	1	5	C[C@H](Cc1ccccc1)[NH2+][C@@H](C#N)c2ccccc2
ZINC00000030	297.422	2.94	0.89	-37.97	3	3	47	1	6	C[C@@H](CC(c1ccccc1)(c2ccccc2)C(=O)N)[NH+](C)C
ZINC00000031	303.386	0.86	1.34	-47.14	2	6	60	1	4	Cc1c(c(=O)n(n1C)c2ccccc2)NC(=O)[C@H](C)[NH+](C)C
ZINC00000036	151.141	0.37	3.51	-45.3	1	3	60	-1	2	c1ccc(cc1)[C@@H](C(=O)[O-])O
ZINC00000038	236.335	3.45	8.97	-38.55	1	3	31	1	6	CC[C@](C)(C[NH+](C)C)OC(=O)c1ccccc1
ZINC00000048	222.24	2.42	3.78	-8.68	0	4	37	0	4	COc1cc(c(c2c1OCO2)OC)CC=C
ZINC00000051	233.335	2.28	7.48	-35.28	2	3	34	1	3	Cc1ccccc1NC(=O)[C@H](C)[NH+]2CCCC2
ZINC00000053	179.151	1.43	6.59	-56.84	0	4	66	-1	3	CC(=O)Oc1ccccc1C(=O)[O-]
ZINC00000056	290.383	1.77	-0.01	-37.55	2	4	50	1	5	C[NH+]1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3
ZINC00000061	213.664	-0.42	4.81	-48.33	3	3	68	0	4	c1cc(ccc1[C@@H](CC(=O)[O-])C[NH3+])Cl
ZINC00000066	268.245	-0.19	-4.3	-54.21	4	7	122	-1	3	c1cc(ccc1C(=O)[O-])N[C@@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O
ZINC00000070	300.721	4.53	-0.61	-46.43	0	4	66	-1	3	C[C@@H](c1ccc2c(c1)nc(o2)c3ccc(cc3)Cl)C(=O)[O-]
ZINC00000071	266.296	3.96	0.72	-9.64	1	3	50	0	3	CCc1c(c2ccccc2o1)C(=O)c3ccc(cc3)O
ZINC00000075	232.303	2.76	8.72	-36.25	1	3	31	1	3	c1ccc(cc1)C(=O)O[C@@H]2C[NH+]3CCC2CC3
ZINC00000076	212.248	2.27	6.57	-8.15	1	2	37	0	3	c1ccc(cc1)[C@@H](C(=O)c2ccccc2)O
ZINC00000078	242.274	2.58	7.58	-6.66	1	3	47	0	5	c1ccc(cc1)COC(=O)[C@H](c2ccccc2)O
ZINC00000092	275.166	2.10	3.72	-40.05	3	3	46	1	4	C[C@H](Cc1cc(c(cc1OC)Br)OC)[NH3+]
ZINC00000095	335.265	4.31	1.62	-36.11	1	2	13	1	6	C[NH+](C)CCO[C@H](c1ccccc1)c2ccc(cc2)Br
ZINC00000096	320.254	3.44	9.9	-40.9	1	2	17	1	5	C[NH+](C)CC[C@@H](c1ccc(cc1)Br)c2ccccn2
ZINC00000099	223.272	1.55	2.69	-12.3	2	4	59	0	5	CCOc1ccc(cc1)NC(=O)C[C@@H](C)O
ZINC00000102	262.373	3.53	5.83	-38.7	3	3	50	1	5	CCc1cccc2c1oc(c2)[C@@H](C[NH2+]C(C)(C)C)O
ZINC00000103	326.372	3.04	7.23	-50.25	2	5	52	1	1	C[NH+]1CCc2cc3c(c-4c2[C@@H]1Cc5c4c(c(cc5)OC)O)OCO3
ZINC00000104	249.334	2.03	-0.66	-44.82	3	4	69	1	6	CC(C)(C)[NH2+]C[C@H](COc1ccccc1C#N)O
ZINC00000106	272.796	3.38	-1.8	-40.25	3	3	46	1	6	Cc1ccc(c(c1)OC[C@H](C[NH2+]C(C)(C)C)O)Cl
ZINC00000111	239.294	4.30	9.53	-49.34	0	2	40	-1	4	CC[C@@H](c1ccc(cc1)c2ccccc2)C(=O)[O-]
ZINC00000122	291.802	3.01	9.21	-38.7	1	3	27	1	6	C[NH+](C)CCO[C@@H](c1ccc(cc1)Cl)c2ccccn2
ZINC00000128	293.387	1.96	2.8	-45.61	4	5	75	1	6	CC(C)(C)[NH2+]C[C@H](COc1cccc2c1CCC(=O)N2)O
ZINC00000135	202.637	1.40	-0.02	-8.39	2	3	50	0	4	c1cc(ccc1OC[C@@H](CO)O)Cl
